room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
3957194,1344,20509940,Shared room,,Edinburgh,,New Town,20,4.5,1,1.0,,33.0,,CODE Hostel,2017-06-16 14:37:26.952581,55.952589,-3.199866,0101000020E6100000A0A86C58539909C0C2C3B46FEEF94B40
6095454,1344,31584727,Shared room,,Edinburgh,,Tollcross,91,4.0,1,1.0,,14.0,,Bobby's Bunkhouse 6 person Dorm,2017-06-16 14:37:26.950340,55.948295,-3.192484,0101000020E6100000AF06280D358A09C0ECFA05BB61F94B40
4098269,1344,20509940,Shared room,,Edinburgh,,New Town,62,4.5,1,1.0,,33.0,,CODE Hostel,2017-06-16 14:37:26.946820,55.951844,-3.200614,0101000020E61000003CF54883DB9A09C069723106D6F94B40
244021,1344,1280381,Shared room,,Edinburgh,,Holyrood,14,4.5,1,1.0,,33.0,,Haggis Hostels - 4 Bed Mixed Dorm,2017-06-16 14:37:25.712878,55.952762,-3.190915,0101000020E6100000D7868A71FE8609C08F6FEF1AF4F94B40
6347331,1344,31584727,Shared room,,Edinburgh,,Holyrood,153,4.0,1,1.0,,15.0,,Bobby's Bunkhouse 2 bed dorm,2017-06-16 14:37:25.710302,55.948801,-3.190931,0101000020E6100000325706D5068709C0C0B4A84F72F94B40
7993481,1344,42193891,Shared room,,Edinburgh,,Calton,1,0.0,1,1.0,,13.0,,Longer room to share short time,2017-06-16 14:37:25.707943,55.958101,-3.180817,0101000020E6100000957CEC2E507209C0E8A1B60DA3FA4B40
4663539,1344,24130727,Shared room,,Edinburgh,,New Town,7,5.0,1,1.0,,29.0,,'The Baxter' 6  Bed Dorm,2017-06-16 14:37:25.705295,55.954665,-3.189414,0101000020E6100000823CBB7CEB8309C063D1747632FA4B40
4155553,1344,20509940,Shared room,,Edinburgh,,Tollcross,54,5.0,1,1.0,,33.0,,CODE Hostel,2017-06-16 14:37:25.703260,55.951349,-3.199496,0101000020E61000006876DD5B919809C0890AD5CDC5F94B40
253552,1344,1280381,Shared room,,Edinburgh,,Holyrood,27,4.5,1,1.0,,26.0,,Haggis Hostels - 10 Bed Mixed Dorm,2017-06-16 14:37:25.700631,55.952528,-3.190976,0101000020E61000003291D26C1E8709C01C430070ECF94B40
14163562,1344,85673770,Shared room,,Edinburgh,,Calton,20,4.5,2,1.0,,33.0,,Cosy sofa for 1 traveller near Leith,2017-06-16 14:37:25.698120,55.962526,-3.171438,0101000020E61000004C55DAE21A5F09C05CC64D0D34FB4B40
11820387,1344,52151748,Shared room,,Edinburgh,,Craigmillar,55,5.0,2,1.0,,20.0,,Cheerful room near Craigmillar Castle,2017-06-16 14:37:25.694865,55.932072,-3.13471,0101000020E6100000A48D23D6E21309C037C2A2224EF74B40
2221900,1344,11335738,Shared room,,Edinburgh,,Southside,129,4.5,1,1.0,,33.0,,share my lovely Newington flat ,2017-06-16 14:37:25.692049,55.941598,-3.17981,0101000020E610000038F3AB39407009C050FD834886F84B40
10544084,1344,54373692,Shared room,,Edinburgh,,Trinity,26,4.5,2,1.0,,32.0,,A spare sofa located by the sea,2017-06-16 14:37:25.688547,55.980233,-3.204532,0101000020E61000003FE257ACE1A209C0E0BA624678FD4B40
6227570,1344,31584727,Shared room,,Edinburgh,,Tollcross,96,4.0,1,1.0,,15.0,,Bobby's Bunkhouse 2 bed Dorm,2017-06-16 14:37:25.682040,55.948813,-3.192708,0101000020E6100000A96BED7DAA8A09C0848252B472F94B40
11428892,1344,33888237,Shared room,,Edinburgh,,Holyrood,6,3.5,1,1.0,,26.0,,Cowgate Hostel - 1 Bed in a 6 Bed Mixed Dorm,2017-06-16 14:37:25.676091,55.948735,-3.190058,0101000020E6100000CFBEF2203D8509C008C9022670F94B40
19078077,1344,118067265,Shared room,,Edinburgh,,Mountcastle,0,0.0,1,1.0,,34.0,,Couch surfing during the EDINBURGH FRINGE FESTIVAL,2017-06-16 14:37:25.674010,55.948587,-3.134017,0101000020E610000040DD4081771209C094347F4C6BF94B40
6844088,1344,34086950,Shared room,,Edinburgh,,Newhaven,74,4.5,2,1.0,,15.0,,Perfect festival spot,2017-06-16 14:37:25.669692,55.975288,-3.172852,0101000020E6100000B262B83A006209C03317B83CD6FC4B40
14534982,1344,89897234,Shared room,,Edinburgh,,Granton,38,5.0,1,1.0,,21.0,,Leafy Oriental Public Room With Breakfast,2017-06-16 14:37:25.662467,55.973565,-3.221759,0101000020E6100000D3BF249529C609C0DFC325C79DFC4B40
6095453,1344,31584727,Shared room,,Edinburgh,,Holyrood,103,4.0,1,1.0,,15.0,,Bobby's Bunkhouse 2person room,2017-06-16 14:37:25.659726,55.948797,-3.191638,0101000020E6100000E65DF580798809C07EC51A2E72F94B40
11988825,1344,56483830,Shared room,,Edinburgh,,Meadowbank,72,5.0,2,1.0,,32.0,,Sofa bed in friendly central flat,2017-06-16 14:37:25.653548,55.956865,-3.163122,0101000020E61000009D103AE8124E09C0F1D7648D7AFA4B40
12283099,1344,66021651,Entire home/apt,,Edinburgh,,Moat,20,4.5,8,4.0,,329.0,,Spacious Edinburgh 4BD Apartment,2017-06-16 14:02:09.154712,55.935579,-3.240204,0101000020E610000073F22213F0EB09C085E97B0DC1F74B40
622487,1344,173941,Entire home/apt,,Edinburgh,,Dalry,10,4.0,6,2.0,,393.0,,"Luxury, City Centre, Free Wifi - B",2017-06-16 14:02:08.078040,55.943479,-3.22005,0101000020E6100000DFE00B93A9C209C03DBB7CEBC3F84B40
18496196,1344,120512889,Entire home/apt,,Edinburgh,,Holyrood,0,0.0,4,2.0,,437.0,,Off Royal Mile 2 beds apartment/Free parking,2017-06-16 14:02:08.062994,55.951165,-3.180711,0101000020E61000003B38D89B187209C0C80C54C6BFF94B40
