room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
19212772,1472,77572662,Shared room,,Edinburgh,,Drylaw,0,0.0,6,1.0,,268.0,,The Dog's House,2017-07-22 06:31:54.585148,55.967494,-3.242149,0101000020E6100000A5129ED0EBEF09C0C289E8D7D6FB4B40
6347301,1472,31584727,Shared room,,Edinburgh,,Holyrood,55,4.0,10,1.0,,161.0,,Bobbys bunkhouse 10bed room,2017-07-22 06:31:50.447021,55.949363,-3.192194,0101000020E61000003FE603029D8909C027840EBA84F94B40
5013703,1472,24130727,Shared room,,Edinburgh,,New Town,2,0.0,1,1.0,,134.0,,'The Baxter' 12 Bed Dorm,2017-07-22 06:31:49.217960,55.953884,-3.191165,0101000020E6100000641EF983818709C0BE16F4DE18FA4B40
5002784,1472,24130727,Shared room,,Edinburgh,,Holyrood,9,4.5,1,1.0,,134.0,,'The Baxter' 9 Bed Dorm,2017-07-22 06:31:49.214907,55.953184,-3.189495,0101000020E61000004E0B5EF4158409C00589EDEE01FA4B40
18463220,1472,5859191,Shared room,,Edinburgh,,New Town,0,0.0,3,1.0,,134.0,,Perfect for Edinburgh Festival Fun!,2017-07-22 06:31:49.206259,55.956295,-3.194144,0101000020E61000008DB7955E9B8D09C0062AE3DF67FA4B40
8614766,1472,33096930,Shared room,,Edinburgh,,Southside,2,0.0,10,1.0,,94.0,,"Historical Central Flat, Edinburgh",2017-07-22 06:31:45.277536,55.943237,-3.180376,0101000020E6100000CADDE7F8687109C047B071FDBBF84B40
16402907,1472,105566264,Shared room,,Edinburgh,,Holyrood,2,0.0,2,1.0,,67.0,,Bright in Edinburgh Sofa Bed for 2,2017-07-22 06:31:42.772127,55.949828,-3.18753,0101000020E6100000AB2688BA0F8009C09C69C2F693F94B40
11008378,1472,36155037,Shared room,,Edinburgh,,Holyrood,0,0.0,4,1.0,,67.0,,High Street Hostel,2017-07-22 06:31:42.769450,55.950378,-3.185624,0101000020E610000056D28A6F287C09C0406B7EFCA5F94B40
16141909,1472,105324978,Shared room,,Edinburgh,,Dalry,0,0.0,2,1.0,,80.0,,Bright room in quiet location near city center,2017-07-22 06:31:42.766607,55.942645,-3.219386,0101000020E6100000209A79724DC109C0745E6397A8F84B40
17948355,1472,37327309,Shared room,,Edinburgh,,Drylaw,3,4.5,4,1.0,,73.0,,Ensuite double + Sofa Bed + Parking,2017-07-22 06:31:42.764408,55.966664,-3.228656,0101000020E6100000FE45D09849D409C03B1C5DA5BBFB4B40
19766356,1472,109602186,Shared room,,Edinburgh,,Holyrood,0,0.0,1,1.0,,67.0,,room share with one more person in edinburgh,2017-07-22 06:31:42.762118,55.946676,-3.179164,0101000020E6100000E0F60489ED6E09C03CF4DDAD2CF94B40
10160178,1472,2408509,Shared room,,Edinburgh,,Pilton,6,4.5,2,1.0,,67.0,,double futon in livingroom,2017-07-22 06:31:42.758782,55.974568,-3.248643,0101000020E6100000DD088B8A38FD09C033DDEBA4BEFC4B40
10869238,1472,33888237,Shared room,,Edinburgh,,Holyrood,2,0.0,1,1.0,,46.0,,Cowgate - Bed in a 4 bed mixed dorm,2017-07-22 06:31:40.696973,55.949226,-3.18937,0101000020E610000087BF266BD48309C0A741D13C80F94B40
16479548,1472,108180084,Shared room,,Edinburgh,,Shandon,2,0.0,2,1.0,,54.0,,"Clean, lovely & convenient shared room in Gorgie",2017-07-22 06:31:40.694961,55.938017,-3.23452,0101000020E6100000381092054CE009C0C80BE9F010F84B40
12382115,1472,32421879,Shared room,,Edinburgh,,Tollcross,2,0.0,2,1.0,,46.0,,Quartermile Luxury Room,2017-07-22 06:31:40.692969,55.94366,-3.194835,0101000020E6100000E5ED08A7058F09C08D45D3D9C9F84B40
7985150,1472,20178674,Shared room,,Edinburgh,,Tollcross,3,4.0,1,1.0,,55.0,,Single SHARED bedroom to let in citycentre,2017-07-22 06:31:40.690683,55.941881,-3.202241,0101000020E61000005E488787309E09C0A5DC7D8E8FF84B40
14075694,1472,18001159,Shared room,,Edinburgh,,Dalry,2,0.0,1,1.0,,54.0,,"Cosy, central location for the solo traveller!",2017-07-22 06:31:40.687079,55.943348,-3.220733,0101000020E61000000A2FC1A90FC409C09E5F94A0BFF84B40
4098269,1472,20509940,Shared room,,Edinburgh,,New Town,63,4.5,1,1.0,,33.0,,CODE Hostel,2017-07-22 06:31:38.041269,55.951844,-3.200614,0101000020E61000003CF54883DB9A09C069723106D6F94B40
6091797,1472,31584727,Shared room,,Edinburgh,,Tollcross,92,4.0,1,1.0,,14.0,,Bobby's Bunkhouse 10person dorm,2017-07-22 06:31:38.039009,55.947094,-3.193234,0101000020E610000057CD7344BE8B09C0711E4E603AF94B40
6347331,1472,31584727,Shared room,,Edinburgh,,Holyrood,160,4.0,1,1.0,,16.0,,Bobby's Bunkhouse 2 bed dorm,2017-07-22 06:31:38.036159,55.948801,-3.190931,0101000020E6100000325706D5068709C0C0B4A84F72F94B40
6095453,1472,31584727,Shared room,,Edinburgh,,Holyrood,108,4.0,1,1.0,,16.0,,Bobby's Bunkhouse 2person room,2017-07-22 06:31:38.034101,55.948797,-3.191638,0101000020E6100000E65DF580798809C07EC51A2E72F94B40
3957194,1472,20509940,Shared room,,Edinburgh,,New Town,20,4.5,1,1.0,,33.0,,CODE Hostel,2017-07-22 06:31:38.031322,55.952589,-3.199866,0101000020E6100000A0A86C58539909C0C2C3B46FEEF94B40
6091676,1472,31584727,Shared room,,Edinburgh,,Tollcross,62,4.0,1,1.0,,27.0,,Bobby's Bunkhouse 4 person Dorm,2017-07-22 06:31:38.025914,55.94879,-3.193269,0101000020E61000001EA5129ED08B09C0CC6262F371F94B40
7993481,1472,42193891,Shared room,,Edinburgh,,Calton,1,0.0,1,1.0,,13.0,,Longer room to share short time,2017-07-22 06:31:38.023238,55.958101,-3.180817,0101000020E6100000957CEC2E507209C0E8A1B60DA3FA4B40
19902319,1472,36792034,Shared room,,Edinburgh,,Dalry,0,0.0,3,1.0,,31.0,,Edinburgh cozy domitory for male.!(Breakfast Incl),2017-07-22 06:31:38.014837,55.943694,-3.221802,0101000020E6100000C77F812040C609C039B709F7CAF84B40
10544084,1472,54373692,Shared room,,Edinburgh,,Trinity,26,4.5,2,1.0,,32.0,,A spare sofa located by the sea,2017-07-22 06:31:38.012616,55.980233,-3.204532,0101000020E61000003FE257ACE1A209C0E0BA624678FD4B40
4155553,1472,20509940,Shared room,,Edinburgh,,Tollcross,56,5.0,1,1.0,,33.0,,CODE Hostel,2017-07-22 06:31:38.009532,55.951349,-3.199496,0101000020E61000006876DD5B919809C0890AD5CDC5F94B40
6227569,1472,31584727,Shared room,,Edinburgh,,Tollcross,55,4.0,1,1.0,,14.0,,Bobby's Bunkhouse 10 person dorm,2017-07-22 06:31:38.007036,55.948963,-3.19247,0101000020E610000060B01BB62D8A09C0990E9D9E77F94B40
4663539,1472,24130727,Shared room,,Edinburgh,,New Town,7,5.0,1,1.0,,30.0,,'The Baxter' 6  Bed Dorm,2017-07-22 06:31:36.197654,55.954665,-3.189414,0101000020E6100000823CBB7CEB8309C063D1747632FA4B40
14163562,1472,85673770,Shared room,,Edinburgh,,Calton,20,4.5,2,1.0,,33.0,,Cosy sofa for 1 traveller near Leith,2017-07-22 06:31:36.195468,55.962526,-3.171438,0101000020E61000004C55DAE21A5F09C05CC64D0D34FB4B40
11820387,1472,52151748,Shared room,,Edinburgh,,Craigmillar,55,5.0,2,1.0,,20.0,,Cheerful room near Craigmillar Castle,2017-07-22 06:31:36.193349,55.932072,-3.13471,0101000020E6100000A48D23D6E21309C037C2A2224EF74B40
18487587,1472,123763675,Shared room,,Edinburgh,,Holyrood,19,5.0,2,1.0,,20.0,,Cosy accommodation in the City Centre (Old Town),2017-07-22 06:31:36.191198,55.948816,-3.186705,0101000020E610000058FFE7305F7E09C0F5F57CCD72F94B40
6844088,1472,34086950,Shared room,,Edinburgh,,Newhaven,76,4.5,2,1.0,,33.0,,Perfect festival spot,2017-07-22 06:31:36.188316,55.975288,-3.172852,0101000020E6100000B262B83A006209C03317B83CD6FC4B40
11988825,1472,56483830,Shared room,,Edinburgh,,Meadowbank,76,5.0,2,1.0,,37.0,,Sofa bed in friendly central flat,2017-07-22 06:31:36.185663,55.956865,-3.163122,0101000020E61000009D103AE8124E09C0F1D7648D7AFA4B40
7689935,1472,31034985,Shared room,,Edinburgh,,Portobello,2,0.0,2,1.0,,33.0,,Air bed in comfortable flat by the beach,2017-07-22 06:31:36.183487,55.958879,-3.12191,0101000020E6100000617138F3ABF908C01DE90C8CBCFA4B40
6095454,1472,31584727,Shared room,,Edinburgh,,Tollcross,99,4.0,1,1.0,,14.0,,Bobby's Bunkhouse 6 person Dorm,2017-07-22 06:31:36.181396,55.948295,-3.192484,0101000020E6100000AF06280D358A09C0ECFA05BB61F94B40
13783415,1472,46639005,Shared room,,Edinburgh,,Shandon,26,5.0,2,1.0,,40.0,,Double sofa bed in traditional flat,2017-07-22 06:31:36.179206,55.931928,-3.234631,0101000020E6100000AF05BD3786E009C0041DAD6A49F74B40
19796879,1472,36792034,Shared room,,Edinburgh,,Dalry,1,0.0,4,1.0,,20.0,,Edinburgh cozy domitory(Breakfast  incl),2017-07-22 06:31:36.177110,55.943376,-3.222674,0101000020E6100000255B5D4E09C809C068EA758BC0F84B40
2221900,1472,11335738,Shared room,,Edinburgh,,Southside,132,4.5,2,1.0,,35.0,,share my lovely Newington flat ,2017-07-22 06:31:36.174295,55.941598,-3.17981,0101000020E610000038F3AB39407009C050FD834886F84B40
18932459,1472,84944231,Shared room,,Edinburgh,,Trinity,3,4.5,4,1.0,,35.0,,Kristy's and Johnny's,2017-07-22 06:31:36.171791,55.979262,-3.204681,0101000020E61000008EE6C8CA2FA309C0971B0C7558FD4B40
14534982,1472,89897234,Shared room,,Edinburgh,,Granton,42,5.0,1,1.0,,22.0,,Leafy Oriental Public Room With Breakfast,2017-07-22 06:31:36.169695,55.973565,-3.221759,0101000020E6100000D3BF249529C609C0DFC325C79DFC4B40
19926074,1472,97680812,Shared room,,Edinburgh,,Mountcastle,0,0.0,2,1.0,,13.0,,Lovely & Spacious room,2017-07-22 06:31:36.167581,55.946525,-3.140972,0101000020E6100000B5368DEDB52009C057EC2FBB27F94B40
11428892,1472,33888237,Shared room,,Edinburgh,,Holyrood,8,4.0,1,1.0,,20.0,,Cowgate Hostel - 1 Bed in a 6 Bed Mixed Dorm,2017-07-22 06:31:36.165476,55.948735,-3.190058,0101000020E6100000CFBEF2203D8509C008C9022670F94B40
6227570,1472,31584727,Shared room,,Edinburgh,,Tollcross,107,4.0,1,1.0,,16.0,,Bobby's Bunkhouse 2 bed Dorm,2017-07-22 06:31:36.162753,55.948813,-3.192708,0101000020E6100000A96BED7DAA8A09C0848252B472F94B40
19618174,1472,73725349,Shared room,,Edinburgh,,Tollcross,0,0.0,1,1.0,,32.0,,Single room at the heart of Edinburgh Old Town,2017-07-22 06:31:36.160641,55.949759,-3.194133,0101000020E61000004E98309A958D09C0740AF2B391F94B40
19850532,1472,36792034,Shared room,,Edinburgh,,Dalry,0,0.0,3,1.0,,19.0,,Edinburgh cozy domitory for female(Breakfast Incl),2017-07-22 06:31:36.158093,55.944814,-3.222551,0101000020E61000006A8995D1C8C709C0C76647AAEFF84B40
11526658,1472,60780112,Entire home/apt,,Edinburgh,,Stockbridge,0,0.0,10,5.0,,602.0,,Spacious Edinburgh New Town flat,2017-07-22 06:28:01.282504,55.95989,-3.203899,0101000020E6100000307F85CC95A109C0F4E0EEACDDFA4B40
9763101,1472,46490344,Entire home/apt,,Edinburgh,,Broughton,0,0.0,12,6.0,,474.0,,Destiny Student - 6 Bed Apartment,2017-07-22 06:27:50.946400,55.962641,-3.179447,0101000020E610000029ECA2E8816F09C0F564FED137FB4B40
9763886,1472,46490344,Entire home/apt,,Edinburgh,,Holyrood,0,0.0,8,4.0,,316.0,,Destiny Student - 4 Bed Apartment,2017-07-22 06:26:18.032310,55.949033,-3.18806,0101000020E6100000707CED99258109C092E9D0E979F94B40
15173829,1472,96301053,Entire home/apt,,Edinburgh,,Colinton,0,0.0,10,4.0,,266.0,,"Ardgour House, Edinburgh",2017-07-22 06:11:50.044407,55.910904,-3.267436,0101000020E6100000382F4E7CB5230AC0D6E5948098F44B40
13664957,1472,31861545,Entire home/apt,,Edinburgh,,Sciennes,7,5.0,9,4.0,,333.0,,Spacious 4 Bedroom Apartment,2017-07-22 05:34:08.246673,55.938863,-3.186095,0101000020E6100000CC9717601F7D09C05436ACA92CF84B40
19975042,1472,63068432,Entire home/apt,,Edinburgh,,Southside,0,0.0,4,1.0,,335.0,,1 bedroom flat in heart of city centre,2017-07-22 05:33:53.499145,55.944778,-3.181614,0101000020E610000049F7730AF27309C07AFD497CEEF84B40
5394545,1472,5489996,Entire home/apt,,Edinburgh,,Shandon,5,5.0,4,2.0,,201.0,,Garden Flat in Edinburgh,2017-07-22 05:29:33.169358,55.934384,-3.229388,0101000020E610000040C23060C9D509C0EDF318E599F74B40
19957210,1472,46389554,Entire home/apt,,Edinburgh,,Harbour,0,0.0,6,2.0,,40.0,,2 Bedroom Apartment - Leith Shore,2017-07-22 05:11:23.243616,55.975206,-3.177118,0101000020E610000070438CD7BC6A09C0766EDA8CD3FC4B40
4885236,1472,19173145,Entire home/apt,,Edinburgh,,Tollcross,10,5.0,7,2.0,,745.0,,273 - Stunning quartermile 2 bed,2017-07-22 05:11:18.028227,55.944723,-3.191417,0101000020E6100000FD2FD7A2058809C0B763EAAEECF84B40
5811585,1472,29624831,Entire home/apt,,Edinburgh,,Murrayfield,2,0.0,16,7.0,,934.0,,Huge Haymarket Apartment 1,2017-07-22 05:11:18.025742,55.946865,-3.21702,0101000020E6100000959F54FB74BC09C0105D50DF32F94B40
4221622,1472,20923270,Entire home/apt,,Edinburgh,,Tollcross,10,4.5,9,4.0,,872.0,,The Panoramic Penthouse @ Quartermile,2017-07-22 05:11:18.019712,55.943223,-3.192375,0101000020E6100000448B6CE7FB8909C0E2EA0088BBF84B40
7393295,1472,27544763,Entire home/apt,,Edinburgh,,Tollcross,2,0.0,6,3.0,,735.0,,NEW: Luxury flat with castle view,2017-07-22 05:11:18.014897,55.947889,-3.204522,0101000020E610000006802A6EDCA209C07C9E3F6D54F94B40
603672,1472,2711564,Entire home/apt,,Edinburgh,,Holyrood,3,5.0,12,4.0,,801.0,,"4 Bedroom 3 Bathroom Apt, Royal Mile for 12 guests",2017-07-22 05:11:15.797415,55.949468,-3.189137,0101000020E61000005BB56B425A8309C09D4CDC2A88F94B40
4742998,1472,7255649,Entire home/apt,,Edinburgh,,Marchmont,0,0.0,10,5.0,,536.0,,Newly renovated 5 bed flat,2017-07-22 05:11:14.210854,55.938473,-3.193932,0101000020E6100000D82E6D382C8D09C0EA961DE21FF84B40
12468099,1472,54952200,Entire home/apt,,Edinburgh,,Shandon,0,0.0,10,5.0,,536.0,,"Harrison Gardens, 5 Bed Quality Flat Edinburgh",2017-07-22 05:11:11.677445,55.935112,-3.227602,0101000020E6100000960854FF20D209C06F0C01C0B1F74B40
7865101,1472,20923270,Entire home/apt,,Edinburgh,,Tollcross,7,5.0,6,3.0,,583.0,,The Edinburgh Castle Suite at Castle Terrace,2017-07-22 05:11:08.443447,55.947641,-3.205392,0101000020E610000058E1968FA4A409C0A3ACDF4C4CF94B40
4846259,1472,24814399,Entire home/apt,,Edinburgh,,Murrayfield,7,4.5,8,4.0,,335.0,,Spacious 4Bd flat in CC Edinburgh,2017-07-22 05:11:04.415863,55.948504,-3.213838,0101000020E6100000EA2285B2F0B509C006103E9468F94B40
9222768,1472,46490344,Entire home/apt,,Edinburgh,,Holyrood,0,0.0,8,4.0,,321.0,,Destiny Student - 4 Bed Apartment,2017-07-22 05:11:04.413061,55.956038,-3.171594,0101000020E6100000C284D1AC6C5F09C0DBDD03745FFA4B40
19579392,1472,12612812,Entire home/apt,,Edinburgh,,Calton,0,0.0,8,4.0,,509.0,,Luxury central festival flat over two levels,2017-07-22 05:10:59.417510,55.958375,-3.176619,0101000020E61000005BD1E638B76909C0E9263108ACFA4B40
6298435,1472,31196020,Entire home/apt,,Edinburgh,,Tollcross,0,0.0,4,2.0,,388.0,,Stunning two bed Quartermile ap,2017-07-22 05:10:53.112328,55.943836,-3.192717,0101000020E6100000DC10E335AF8A09C0CB64389ECFF84B40
